instance,V1_init,V2_init,V3_init,T1_init,T2_init,T3_init,xA1_init,xA2_init,xA3_init,xB1_init,xB2_init,xB3_init,F1_init,F2_init,F3_init,Ff1_init,Ff2_init,FR_init,Q1_init,Q2_init,Q3_init,V1_sp,V2_sp,V3_sp,T1_sp,T2_sp,T3_sp,xA1_sp,xA2_sp,xA3_sp,xB1_sp,xB2_sp,xB3_sp,F1_sp,F2_sp,F3_sp,Ff1_sp,Ff2_sp,FR_sp,Q1_sp,Q2_sp,Q3_sp
293,2.2,1.1,1.0,424.3676117,410.4732141,415.9420943,0.420130665,0.525880435,0.363196341,0.546047661,0.448240985,0.597749161,15.55690365,24.30056905,13.98183377,5.440496514,8.743665399,10.11640714,681957.476,540127.6439,558168.1564,0.66,2.1,1.5,417.1394823,423.2249775,428.1984162,0.646576768,0.466059558,0.242284665,0.344224318,0.512639684,0.719735502,24.16985066,28.31850632,11.59432202,7.773591555,4.148655651,16.39625911,730885.8401,559519.5729,591529.8887
294,0.66,2.1,1.5,417.1394823,423.2249775,428.1984162,0.646576768,0.466059558,0.242284665,0.344224318,0.512639684,0.719735502,24.16985066,28.31850632,11.59432202,7.773591555,4.148655651,16.39625911,730885.8401,559519.5729,591529.8887,2.0,1.2,0.71,403.8179836,402.9611988,408.4006809,0.671423536,0.64226981,0.504867343,0.322218185,0.350230744,0.483693006,18.73728452,24.29716157,14.26382018,8.900675318,5.55987705,9.836609198,699519.1312,520086.3044,555088.0284
295,2.0,1.2,0.71,403.8179836,402.9611988,408.4006809,0.671423536,0.64226981,0.504867343,0.322218185,0.350230744,0.483693006,18.73728452,24.29716157,14.26382018,8.900675318,5.55987705,9.836609198,699519.1312,520086.3044,555088.0284,1.6,1.4,0.81,424.6663472,428.2486081,435.1334825,0.429007404,0.332831537,0.173375992,0.539066171,0.620909753,0.75867197,15.54090719,18.84630696,10.23530445,7.098747867,3.305399774,8.442159323,710101.0854,501059.7079,544968.8966
296,1.6,1.4,0.81,424.6663472,428.2486081,435.1334825,0.429007404,0.332831537,0.173375992,0.539066171,0.620909753,0.75867197,15.54090719,18.84630696,10.23530445,7.098747867,3.305399774,8.442159323,710101.0854,501059.7079,544968.8966,0.72,1.8,2.0,389.9682538,389.4643646,394.8363791,0.892197346,0.813452302,0.754039206,0.107294702,0.18513096,0.243989714,16.34897614,24.84027551,16.86054872,8.52571458,8.491299372,7.823261559,728994.6173,562369.2383,560457.7266
297,0.72,1.8,2.0,389.9682538,389.4643646,394.8363791,0.892197346,0.813452302,0.754039206,0.107294702,0.18513096,0.243989714,16.34897614,24.84027551,16.86054872,8.52571458,8.491299372,7.823261559,728994.6173,562369.2383,560457.7266,0.93,2.2,0.65,421.9285513,414.2461008,419.7283981,0.584788199,0.51615423,0.327631652,0.403384352,0.466595048,0.64443709,17.12639293,26.28954387,13.43898279,4.527803632,9.163150946,12.5985893,700854.9759,581747.5279,605334.1568
298,0.93,2.2,0.65,421.9285513,414.2461008,419.7283981,0.584788199,0.51615423,0.327631652,0.403384352,0.466595048,0.64443709,17.12639293,26.28954387,13.43898279,4.527803632,9.163150946,12.5985893,700854.9759,581747.5279,605334.1568,1.2,2.0,0.51,400.2470367,398.9256788,403.2979851,0.794610909,0.721173648,0.569066429,0.203391191,0.27520952,0.424596875,24.01647346,32.32225524,15.94732111,7.962616467,8.305781784,16.05385699,689514.0891,559624.5903,593555.6837
299,1.2,2.0,0.51,400.2470367,398.9256788,403.2979851,0.794610909,0.721173648,0.569066429,0.203391191,0.27520952,0.424596875,24.01647346,32.32225524,15.94732111,7.962616467,8.305781784,16.05385699,689514.0891,559624.5903,593555.6837,1.5,1.7,2.3,401.4786033,400.3314159,406.1807815,0.718545576,0.660625109,0.560985898,0.277019096,0.333020641,0.430232689,15.37618704,22.62064265,15.22721852,8.127732014,7.244455611,7.248455029,730439.0482,605045.3762,555729.248
300,1.5,1.7,2.3,401.4786033,400.3314159,406.1807815,0.718545576,0.660625109,0.560985898,0.277019096,0.333020641,0.430232689,15.37618704,22.62064265,15.22721852,8.127732014,7.244455611,7.248455029,730439.0482,605045.3762,555729.248,1.4,0.99,1.7,388.6194469,385.1451053,389.0697318,0.866826314,0.863501158,0.79863306,0.132431173,0.135708068,0.200107335,22.01704047,31.8096373,18.36734571,8.838323226,9.792596829,13.17871724,682822.1094,512193.7201,524331.9649
301,1.4,0.99,1.7,388.6194469,385.1451053,389.0697318,0.866826314,0.863501158,0.79863306,0.132431173,0.135708068,0.200107335,22.01704047,31.8096373,18.36734571,8.838323226,9.792596829,13.17871724,682822.1094,512193.7201,524331.9649,2.2,1.2,1.8,408.8531916,405.1576402,410.641936,0.574544013,0.582906757,0.45853711,0.41247495,0.404178903,0.523275449,15.44218442,21.73304925,14.07618986,7.935459527,6.290864828,7.506724893,704396.3763,543954.1977,500618.3104
302,2.2,1.2,1.8,408.8531916,405.1576402,410.641936,0.574544013,0.582906757,0.45853711,0.41247495,0.404178903,0.523275449,15.44218442,21.73304925,14.07618986,7.935459527,6.290864828,7.506724893,704396.3763,543954.1977,500618.3104,0.82,0.82,2.3,396.1372557,394.9646956,399.2663352,0.882467595,0.853143088,0.751703731,0.116960879,0.146006656,0.246673709,24.37430389,31.09037933,14.18159802,7.797067309,6.716075439,16.57723658,684833.666,604415.9529,561706.2699
303,0.82,0.82,2.3,396.1372557,394.9646956,399.2663352,0.882467595,0.853143088,0.751703731,0.116960879,0.146006656,0.246673709,24.37430389,31.09037933,14.18159802,7.797067309,6.716075439,16.57723658,684833.666,604415.9529,561706.2699,0.98,1.1,2.3,405.0571687,400.4023639,404.8842762,0.785460492,0.755867003,0.614582136,0.212300769,0.241240141,0.380251961,19.97283783,27.73537461,13.46703011,5.984264784,7.762536786,13.98857304,700665.365,532974.6483,522093.5343
