V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,targets
-1.863291272,1.365991312,1.851114181,-0.275486565,-0.440007904,-0.406865981,0.628953577,0.475430299,0.609968087,-0.720006521,-0.541324682,-0.707032952,1
0.235668381,-2.21877403,-0.600040397,1.529719543,1.517721468,1.511163139,-1.084103606,-0.775894527,-1.045797906,1.163684569,0.816399752,1.118228851,2
0.922600631,0.689147506,0.022080054,0.340980303,0.31561248,0.354137077,-0.963426627,-0.98935817,-0.691938072,0.948924185,0.966178937,0.608886025,3
-1.074591281,0.112576857,0.644200505,-0.833966329,-0.713477308,-0.706149125,1.318701932,1.104371334,0.983297707,-1.381945501,-1.125238989,-0.970772287,1
-0.069634841,-0.626937671,-0.848888577,-0.385038376,-0.82583332,-0.79488516,0.234169067,0.6221008,0.907732412,-0.288307301,-0.716550757,-1.066547246,3
0.413761928,1.85482295,-0.351192216,0.767585141,1.016421229,0.97575173,-0.831523541,-1.260803652,-1.485442939,0.89470191,1.365095749,1.640903837,3
1.189740951,-1.842749693,0.893048686,0.786380172,0.847767197,0.879222204,-1.035467018,-0.654236512,-0.674486716,1.06085464,0.641103938,0.641355543,4
-1.405336438,1.315854734,-0.848888577,-1.037665715,-0.984168441,-1.049633845,1.340120887,1.053806134,1.071849162,-1.449204394,-1.119261353,-1.133593444,4
1.698579654,-1.604600947,0.893048686,0.187281621,-0.091073551,-0.055541855,-0.600681546,-0.111274781,0.041312815,0.63975677,0.094498206,-0.087388782,1
-0.362217096,-0.125571889,0.519776415,0.221527802,0.220674487,0.204449837,-0.035418904,-0.04508175,-0.141038755,0.014137618,0.026865776,0.131282092,1
0.019411932,2.193244853,-0.848888577,0.543246418,0.631690523,0.647025183,-0.588305996,-0.949530599,-0.99237729,0.617504809,1.014209147,1.070248819,3
-0.616636447,-0.764813262,0.146504145,-0.047408783,0.152155972,0.126978335,0.22904978,0.15373837,0.088573719,-0.272421061,-0.181914127,-0.112854249,3
0.909879664,-0.138106034,-0.985755076,1.479005554,1.633119017,1.651517302,-1.79921625,-1.767007109,-1.40345633,1.765401295,1.662447817,1.167552885,1
-1.876012239,0.86462553,1.278763366,-1.262196531,-1.126262222,-1.03394712,1.80869059,1.275097801,1.069262629,-1.831427977,-1.17767518,-0.868908815,1
2.296465131,-0.890154707,0.644200505,0.911156083,0.83105622,0.722314597,-1.554793005,-1.097754553,-1.058665574,1.629855105,1.095528787,1.017516065,4
-0.23500742,1.203047433,1.490284319,-2.313451534,-1.948072074,-1.914811086,2.034529912,1.543989005,1.654123365,-1.950389952,-1.456055453,-1.494246457,1
-0.616636447,0.739284085,-0.973312667,1.162135468,1.070020351,1.12092406,-1.016724214,-1.19401038,-1.147735242,1.079895244,1.266008629,1.225754552,2
1.03708934,0.363259748,-0.313864989,0.789145323,1.122646087,1.041967474,-1.115626704,-1.199812654,-1.122390926,1.071272713,1.111780542,0.960120032,3
-0.743846123,-0.890154707,-0.363634625,-0.94568425,-0.684398424,-0.616301048,1.237099452,1.020752576,0.843326661,-1.242277748,-0.945612044,-0.688870068,3
-0.362217096,-0.902688852,1.98798068,0.627720539,-0.031770567,0.016540848,-0.37329011,0.19929763,0.247507269,0.379215439,-0.243892347,-0.309528228,1
0.146621608,1.754549793,-1.844281299,0.391933481,0.803935993,0.737345243,-0.572728476,-1.087657361,-1.121749993,0.581069282,1.111393375,1.131535693,3
-0.107797744,-2.381717909,2.137289588,-0.037586169,-0.431087909,-0.40022066,0.332161978,0.999707489,0.972799558,-0.365630837,-1.059886595,-1.023569704,3
1.164299015,0.977432831,-0.724464487,-0.960747432,-0.891086881,-0.855803914,0.271721703,0.151230368,0.463772781,-0.316671748,-0.180241974,-0.543245279,2
-0.23500742,-0.714676683,0.146504145,0.57751008,0.493179784,0.397367655,-0.141906539,-0.019660201,-0.330972118,0.131385708,-0.003130662,0.346748543,1
0.40104096,-0.113037745,-0.973312667,2.02415901,2.064995711,2.255404438,-2.11569674,-1.999247578,-1.70933785,1.928166237,1.828489942,1.453118634,1
0.146621608,1.165444999,1.515169137,-0.396496771,-0.166250563,-0.326680385,0.195355625,-0.189283968,-0.244122146,-0.033598462,0.324511304,0.384444125,4
-0.998265475,0.989966976,-0.724464487,-1.193346326,-1.408949939,-1.421393261,1.519323803,1.470479249,1.24000278,-1.528697807,-1.429398437,-1.124503557,1
-0.92193967,-1.266179044,0.644200505,0.478854842,0.331257325,0.45430517,-0.115259607,-0.061199675,0.109833863,0.100315649,0.042168013,-0.159062286,2
-0.298612258,1.115308421,-1.582990709,1.535877828,1.795061237,1.84730543,-1.422155371,-1.935484236,-1.687324206,1.432379082,1.841390951,1.543263032,2
2.423674807,-1.842749693,-0.127228854,-0.273864636,-0.473455665,-0.546814031,-0.448621026,0.417207985,0.17894732,0.423333149,-0.371507214,-0.118305104,1
-0.23500742,1.44119618,1.652035636,-0.505854661,-0.323916279,-0.359688747,0.457880896,0.06941865,0.072334817,-0.414036777,-0.005347857,0.015644104,4
-0.998265475,-0.012764588,-0.848888577,-0.918427131,-1.036134435,-1.047419082,1.130321128,1.212879693,1.290919799,-1.233394061,-1.29623403,-1.398952935,3
-0.947381605,0.363259748,-0.351192216,1.200388897,1.619159759,1.65178243,-0.777850069,-1.427644054,-1.561427969,0.822089194,1.494216634,1.647619524,2
0.858995793,-1.015496153,0.768624596,0.852589359,0.119336285,0.089911473,-0.910713112,-0.036472745,-0.133689339,0.936592091,0.005810978,0.095958081,4
1.03708934,-1.040564442,-1.383912165,0.030536027,-0.208179519,-0.227487567,-0.217156535,0.211306596,0.159292754,0.197369341,-0.254289981,-0.207132917,4
-0.107797744,0.513669483,1.428072274,-0.869159221,-0.255425826,-0.224904484,0.812979341,0.290696323,0.32449967,-0.852209619,-0.282645889,-0.298440097,1
-0.489426772,-0.551732804,-0.886215804,1.814684717,1.69965523,1.660083218,-1.610497336,-1.425964264,-1.297498709,1.568011876,1.351846861,1.106719775,1
-0.23500742,0.187781724,1.925768635,-1.830178232,-1.82218606,-1.800723523,1.809106009,1.753474942,1.712556705,-1.837999005,-1.758055228,-1.629958079,1
0.019411932,1.453730324,0.022080054,0.472962122,0.478665773,0.49053694,-0.487781077,-0.734507742,-0.776382303,0.513326816,0.78452596,0.837527265,3
1.800347395,0.827023097,1.788902135,1.643225634,1.536687028,1.446518296,-2.027158956,-1.935269161,-2.104305963,2.076102924,1.986654133,2.167889344,4
2.156534488,-1.316315622,2.299040905,0.519172173,0.015802757,0.053886217,-1.380840058,-0.397697145,-0.18631385,1.41376517,0.352201566,0.104151075,4
-1.379894503,1.040103554,-0.102344036,0.732185567,1.118125545,1.089763885,-0.16711907,-0.890298105,-1.014594342,0.162352527,0.917003947,1.045645068,2
0.40104096,-0.138106034,-1.719857209,-0.452847672,0.042218724,0.052385343,0.234985382,-0.054940235,-0.037862239,-0.238007372,0.076054512,0.065088965,4
-0.756567091,-0.012764588,0.146504145,0.432422632,-0.241801788,-0.357316757,0.154568663,0.558989206,0.255923137,-0.171871155,-0.588902863,-0.256736916,3
-0.260449355,0.112576857,1.266320957,0.500375222,0.662642094,0.784363599,-0.456314842,-0.710872723,-0.50017752,0.451530158,0.70910753,0.461558133,4
1.202461918,0.488601194,-0.973312667,-1.226766125,-1.006347006,-1.052727842,0.651005108,0.679531486,0.722507944,-0.707523617,-0.706803971,-0.747513607,1
