x1,x2,x3,x4,x5,x6
-91.62224363405142,-42.05410856793074,-257.48652397379675,-192.05262830804426,-41.14843323223046,-274.3386298998878
-659.4130805058259,-674.58589367054,-187.59829709487755,-195.3121900094211,-569.1230394998553,-17.277998386505406
-245.4148471433102,-258.53054516489595,-234.66975606332352,-185.2561235060273,-151.3901760385511,-44.88346994669445
-323.34031868845096,-320.29808039697264,-209.04866906856066,-193.1934149380264,-221.1690689490821,-24.333175207561883
-25.640442217209852,-124.14583844520372,-914.2392278871268,-461.0466782172839,-13.036320223492952,-704.8746062688933
-260.6596458951326,-287.6849532362703,-470.4190954311906,-312.65672358522846,-55.608703711273726,-126.6222773298983
-94.05896130424586,-108.22186791621358,-1608.3555125987239,-960.764581185265,-1.519507929744844,-1635.0669378655612
-100.051041255643,-121.25156662085179,-684.6850682686181,-308.1741349475071,-2.9866397560120883,-536.3501093140325
-312.1641542909116,-327.350356602593,-259.4881935463455,-229.6894218356251,-215.39110368768723,-24.087495803267316
-94.98232872173072,-118.21095785346789,-380.30898376212934,-193.41945455574614,-24.612819331592178,-218.88917835424232
-456.89135844095483,-470.37105551161864,-133.279338231071,-74.40860435910393,-404.70479143288526,-64.60113951299138
-12.268014918712565,-57.3865553426909,-1233.2019365158374,-647.8509251818555,-57.55877098032113,-1265.2422033928385
-134.52659665442005,-131.1117808954746,-651.7558481166741,-362.0435140570758,-2.4315452596318927,-507.70469161825963
-234.7746396662866,-251.41874896068202,-238.34121017703404,-208.11474725519383,-161.2410974728923,-41.194137061789085
-32.38339085719933,-65.5790947280946,-1144.4195128850058,-621.501847011365,-10.979898812205754,-1110.8268148166383
-155.17949593362363,-200.3486294972981,-219.36146098008152,-118.85393600072187,-100.44159976435822,-83.69439382686207
-36.97509805972276,-110.01000753281622,-1177.1982010848876,-616.020157242057,-7.57920941142876,-1065.2910436676227
-96.29655148692169,-134.13590056692013,-292.64662208937045,-120.94210524484895,-73.82744285576825,-119.62415645685488
-157.15927918724546,-162.8744989713843,-563.4993294747919,-366.04342138703913,-3.7077601684415447,-445.24571834518713
-294.0397292296404,-321.08229584291286,-123.30786999394901,-47.865880630684146,-290.6462541491497,-94.31918454443998
-9.569135620291515,-178.537514232109,-804.9616377977254,-184.955720426592,-134.8925954154075,-664.973311723166
-79.75602213899431,-106.07275259125882,-557.6470126261362,-308.89441345839856,-5.181389961459709,-446.4172157319471
-329.34124488499714,-321.1810122156886,-227.03553028977967,-213.938565754051,-220.7730219580123,-23.42350591311762
-52.92765122859735,-95.98017688073914,-554.3665229728749,-289.3551443036466,-9.175508568318566,-419.08512199269995
-148.74798805712769,-150.29746177731073,-155.9433089647676,-91.11576142068819,-113.92760499697036,-88.60501053845384
-778.8179422405929,-789.9945346558969,-323.66235483246646,-358.5604345320976,-657.5242818590372,-1.4594655655519366
-68.05354634466916,-94.23515342093155,-1515.5471019128402,-877.7287811127997,-2.8421709306430336,-1528.8261206542907
-66.85566188896493,-95.15648455383287,-351.7143793374737,-179.69735761718678,-46.786154971999856,-177.32985112551654
-59.99779686179117,-75.26183077520338,-354.8777905603252,-162.989690408973,-26.044933467074987,-254.6228728110464
-9.182789799814843,-118.70098336448997,-991.8327419361556,-468.3365469246537,-31.42598722649891,-829.7182839749454
-8.118956660847157,-119.91309927934849,-1155.8772464295328,-526.5240415033212,-34.22085717878522,-1026.0491128791377
-150.85462971064538,-201.63063699652886,-253.5947684947942,-125.4674123637398,-98.67583453255494,-83.58326865638494
-130.32518287818894,-169.14238050862687,-560.2379287514891,-325.5139756403246,-7.261311317527399,-363.31250270604914
