step,time,DMPC1_qh,DMPC1_qc,DMPC1_V,DMPC1_T,DMPC2_qh,DMPC2_qc,DMPC2_V,DMPC2_T,qh_sp,qc_sp,V_sp,T_sp
14.0,1.4000000000000001,11.117545690247255,6.000073077788101,5.376358447543902,364.6209770631644,11.000112659809025,6.116758855608922,5.377175436395011,363.6246283541092,11.0,6.0,5.5,364.7058823531342
15.0,1.5,11.106357722678728,6.000071924170336,5.388120324347436,364.7100631632897,11.000098910472117,6.105645114400866,5.3888625879368055,363.7989898005114,11.0,6.0,5.5,364.7058823531342
16.0,1.6,11.096234051578701,6.000069036792331,5.398763289032341,364.76849859215156,11.000087457017404,6.09558881344154,5.399436990424103,363.9369042297667,11.0,6.0,5.5,364.7058823531342
17.0,1.7000000000000002,11.087073411362393,6.000065171821866,5.408393597869444,364.8053312419507,11.000077755035456,6.086489275186806,5.409004617469996,364.04738143131954,11.0,6.0,5.5,364.7058823531342
18.0,1.8,11.078784156977935,6.000060822371815,5.41710745618787,364.8270328636579,11.000069421049705,6.0782554072342965,5.417661320492223,364.13701625851417,11.0,6.0,5.5,364.7058823531342
19.0,1.9000000000000001,11.071283352386981,6.000056305672872,5.424991954122847,364.83823061790804,11.00006217996167,6.0708047875646285,5.425493803320622,364.2106593761934,11.0,6.0,5.5,364.7058823531342
20.0,2.0,11.064495944376631,6.000051821673714,5.432125919928832,364.8422282886508,11.00005583051528,6.064062837570225,5.432580500073253,364.2718999361067,11.0,6.0,5.5,364.7058823531342
21.0,2.1,11.058354014026792,6.000047492397878,5.438580696533866,364.84137996638844,11.000050222375705,6.057962074256676,5.438992366881805,364.3234110694623,11.0,6.0,5.5,364.7058823531342
22.0,2.2,11.052796098741203,6.000043388363428,5.444420847176333,364.83735815214703,11.000045240780434,6.052441433909453,5.444793596545043,364.3671968633111,11.0,6.0,5.5,364.7058823531342
23.0,2.3000000000000003,11.047766578326666,6.000039546308965,5.449704795886795,364.8313444098055,11.00004079617371,6.04744566030913,5.450042264014033,364.40477208458634,11.0,6.0,5.5,364.7058823531342
24.0,2.4000000000000004,11.04321511915849,6.000035981076037,5.454485408350358,364.8241682685016,11.00003681714682,6.042924751273636,5.454790909662316,364.43729260284675,11.0,6.0,5.5,364.7058823531342
25.0,2.5,11.03909617099266,6.000032693561358,5.458810518373811,364.81640613825954,11.000033245586701,6.0388334579223475,5.459087066504362,364.465648398335,11.0,6.0,5.5,364.7058823531342
26.0,2.6,11.035368511472376,6.000029676024031,5.462723404829213,364.8084534206644,11.00003003330928,6.03513083160615,5.462973736855268,364.490532038248,11.0,6.0,5.5,364.7058823531342
27.0,2.7,11.031994833827058,6.000026915611874,5.466263223578853,364.80057615171626,11.00002713969721,6.031779813939107,5.46648982334681,364.51248803568365,11.0,6.0,5.5,364.7058823531342
28.0,2.8000000000000003,11.028941373676133,6.00002439668854,5.469465398522746,364.79294826365344,11.000024530021395,6.028746865808428,5.469670518710441,364.5319510274115,11.0,6.0,5.5,364.7058823531342
29.0,2.9000000000000004,11.026177571228857,6.0000221023534905,5.472361975559212,364.78567846133853,11.000022174231157,6.026001631636047,5.472547658293424,364.5492712546555,11.0,6.0,5.5,364.7058823531342
30.0,3.0,11.023675765517405,6.000020015419429,5.474981942917449,364.778829591383,11.000020046067954,6.0235166355223395,5.475150038880144,364.5647345483734,11.0,6.0,5.5,364.7058823531342
31.0,3.1,11.021410917615325,6.00001811902587,5.477351521011132,364.77243258135286,11.00001812240442,6.021267006224535,5.477503707039173,364.57857701741364,11.0,6.0,5.5,364.7058823531342
32.0,3.2,11.019360360079657,6.0000163970096505,5.47949442467525,364.76649645039305,11.000016382741787,6.0192302282130195,5.479632219902068,364.5909959833935,11.0,6.0,5.5,364.7058823531342
