x1,x2,x3,x4,x5,x6,x7,x8
-210.90271422403592,-948.3047334351077,-20971.03323557994,-7040.291378016678,-0.4695176282918239,-10386.726137271446,-2547.2254900014714,-166.92253199575225
-35.54349409345395,-430.08695306286256,-12602.202637529073,-2927.9494257790757,-42.38187740844684,-4832.06528147461,-1459.9818007079728,-31.11437589085635
-68.18749858828116,-134.0139736974537,-5433.473938858968,-1041.7052606235954,-153.20898799147798,-1851.961345118052,-880.2225151186665,-49.843004980845336
-151.1041069353537,-735.900894596879,-21620.97617402072,-7118.384843735242,-2.460060132540131,-11524.164986159774,-3494.0430343422813,-159.6296441377293
-114.10746455833855,-364.8801069851899,-9824.233451421253,-2647.7549650031096,-8.225911278947226,-4118.421126617272,-1079.9373600984193,-55.88523543891631
-1327.286603111218,-2257.2813614241827,-13650.564823927923,-3939.8711862472833,-945.7932996555987,-2879.819960966135,-1.555209784054107,-1053.496864688834
-525.8110613187711,-872.6531566932124,-9874.738480181022,-2809.5127316075173,-365.51160891434563,-3115.4373984433314,-32.409936089516805,-406.71568922021424
-824.4373578478924,-1080.335561039927,-11441.621661791942,-3783.434237987673,-583.2056184715585,-4369.54326240727,-10.990888828187312,-611.5402308226413
-182.9236932516479,-154.4909654336431,-14615.071046967729,-3960.6697833102658,-15.695853829708215,-7154.011145597455,-2927.746774821559,-72.52574157511278
-1159.4815806260494,-1734.8904532921415,-8215.038404116158,-1293.2881520510912,-910.6027726348949,-128.94975160521804,-572.7178741489453,-961.9131062382078
-1260.7652941622239,-1907.5487602072267,-12755.2500128041,-4109.045522793225,-954.1587203751722,-3320.329510764584,-1.330853220896786,-1105.3595057770403
-133.30745451490154,-121.87765640774397,-6057.355303996111,-1769.3406325976948,-84.03529889145159,-2957.7674280847323,-988.0456614164732,-19.59411259455713
-526.2236307019182,-1161.0322729516251,-15921.34127402737,-4540.067145221768,-251.21782466151862,-5100.122693971633,-66.91925545141903,-273.71463638308956
-29.469923512203085,-322.00230374943624,-4840.4502975067935,-1099.3281690791152,-58.13676449506848,-2443.029624648682,-1113.3346181082445,-75.04857276107488
-67.31175067643817,-577.0103494673402,-7694.041798105505,-1837.2601254159417,-128.96186568830967,-2467.3376126989688,-329.2759146800215,-162.9897497362417
-1248.9815668964754,-2277.822000820552,-12650.04336866916,-3621.2966706099282,-1003.5195326950889,-2398.4292475877655,-2.32742490616511,-1183.4138714617093
-29.81721079141254,-502.19349684435696,-7558.155545268224,-1655.0649241396463,-93.80505646348303,-2319.1132939403387,-518.931182702958,-109.74138294615494
-32.18945442211723,-174.5738648944519,-7642.327518331544,-2260.317279001831,-58.9220981236335,-3868.3869409242116,-1104.982674068025,-62.886375795046355
-1709.2189168209813,-2346.5600628073084,-4382.32900342088,-990.1122922731868,-1475.971192894678,-31.126678326413554,-1318.4394247134062,-1653.22608507767
-586.4960216108526,-1506.8827084909162,-15067.034987376182,-4168.722817018568,-335.7135689400109,-4311.499264095468,-35.911907112889,-421.2043180022153
-59.27913141128557,-648.163652357515,-20544.247192599705,-6945.317512328398,-20.13485377688489,-9884.600289691252,-2409.4962654725737,-46.092918534592584
