instance,V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,F1,F2,F3,Ff1,Ff2,FR,Q1,Q2,Q3,label
55,-0.507614488,-0.221643037,-0.121057882,0.425095972,0.138895586,0.113332624,-0.256446959,-0.03994117,-0.061349544,0.265399923,0.028340376,0.048228017,-0.415763482,-0.162057503,-0.278332933,-0.869787813,0.503372031,-0.016336441,0.253481933,0.606839292,-1.303981799,8
56,-1.382811881,1.451134599,-1.090716848,-0.934350343,-0.07357892,-0.125189101,1.186060786,0.306448281,0.174039257,-1.297622714,-0.308504676,-0.151392482,1.702544404,0.775147754,-0.145581848,1.776206907,-1.819102119,1.014354336,1.405790219,-0.796628425,-0.576054606,5
58,-1.014975295,-0.123244352,-0.121057882,-0.345486209,-0.792991652,-0.876994558,0.791048397,0.95295434,0.540736412,-0.657469125,-0.735294235,-0.240942474,0.75351296,1.36034696,0.66940113,-0.617737417,1.404121343,1.193848012,0.231947851,-0.609926415,0.32613008,7
59,1.775509146,-1.537725442,-0.848302107,-0.549116514,-0.334157889,-0.315791924,0.073802681,0.301736863,0.338167955,-0.077879086,-0.314238466,-0.349469939,0.268547499,-0.344028982,0.115856935,1.491341337,-1.299581555,-0.482678666,-1.227741238,-0.217291942,-0.525903323,8
60,-1.395495901,0.430248248,-0.121057882,0.156136259,0.412817758,0.366723756,0.252453495,-0.070811934,-0.20914731,-0.262083394,0.091377408,0.249261776,0.580753188,0.448733222,-0.42928993,-0.26085889,-0.220218868,0.805916058,0.845167877,1.832364421,-0.3303205,5
61,0.760787531,-0.123244352,1.454637939,0.486774211,-0.406166587,-0.370350343,-0.740914395,0.005451011,0.21336624,0.717441336,-0.078409399,-0.328722553,-1.482854303,-0.634855221,0.585043543,-1.089843988,1.671826453,-1.126048934,0.03557718,-1.247600172,-0.545398092,6
62,-0.63445469,-0.529138926,-0.605887365,-1.419719188,-0.979988454,-0.935637,1.436402158,1.129708284,1.25610206,-1.483466753,-1.165180496,-1.31651496,0.410624464,0.090178513,0.507233111,1.293249143,-0.648898901,-0.214268023,0.459794739,-0.584818112,0.881958465,6
63,-0.748610871,1.512633777,-0.484679994,1.813366323,2.231707938,2.156382841,-1.504042643,-2.061896379,-2.114027698,1.553317658,2.081589691,2.093234676,0.49591777,0.200258641,-1.63633685,-1.329591566,-0.585304793,1.275501952,-1.124187814,2.035473722,0.030179037,5
67,-0.380774286,1.770930324,1.49100015,-0.763200884,0.315329539,0.329178713,0.469347368,-0.56138199,-0.324057864,-0.386618044,0.639437626,0.402613543,0.500315299,-0.454895766,-0.251955913,1.80249954,-2.017143708,-0.381399724,-0.090217343,1.048758346,-0.190803394,6
69,0.253426723,-0.553738597,-0.484679994,-1.460220515,-0.321150166,-0.346364923,1.173665297,0.483370274,0.315237534,-0.931083586,-0.282073438,-0.038565619,1.397703679,0.413604799,-0.150865828,1.920087469,-1.977141503,0.587634253,-0.730832801,-0.477657779,0.020008303,7
70,-0.127093882,0.03665351,0.848601085,-0.650753769,-0.988927361,-1.005579967,0.604648308,0.843415703,0.993756878,-0.655438395,-0.913628465,-1.09672971,-0.200056938,0.396678076,1.026006709,-0.096885675,1.273019942,-0.178529211,-0.549748157,0.393103606,-0.737260354,5
72,0.874943712,0.122752359,0.606186343,-0.076378728,-0.511803822,-0.595412074,-0.31143362,0.140325626,0.215813548,0.350397187,-0.157753494,-0.250085577,0.004143309,0.555274009,1.041486564,0.008382723,1.197359397,0.000314127,0.117419502,-0.208286824,-1.409003238,8
73,-0.00025368,-0.492239419,-0.739215473,0.428648618,0.300672129,0.275621026,-0.249564279,-0.101496593,-0.26843927,0.275069353,0.107486092,0.302065932,0.359771982,0.397097957,-0.418865041,-0.611311705,0.122248973,0.737885453,-2.139173393,0.355249554,0.457316195,8
74,0.760787531,-0.725936295,1.466758676,-0.685181958,-0.600088681,-0.555562919,0.304009537,0.450883267,0.641203071,-0.335443806,-0.500807811,-0.734494759,0.012541775,-0.160594478,0.736629999,1.267199828,-0.37456243,-0.657988843,1.973924269,-0.691581762,0.627415874,5
76,0.380266925,-0.332341557,1.684931944,-0.855644509,-0.70929871,-0.733604827,0.861698618,0.824758242,0.612993115,-0.811915766,-0.771649284,-0.494895083,1.463047128,1.490752807,0.801539359,0.784684542,0.227665223,1.265207493,0.95179045,0.265279535,1.613636785,1
78,1.902349347,0.356449235,0.727393714,0.734878935,0.271613677,0.316771734,-1.448630138,-0.988875318,-0.809427687,1.491269106,1.003745193,0.800701597,-1.211227708,-0.834646973,0.578116282,-0.061865966,0.679149119,-1.359317878,0.358284238,-0.82815848,-0.041356607,6
79,-1.776016506,0.454847919,-0.727094736,-1.269756832,-0.55966535,-0.630738694,1.731677582,1.058199921,0.869465011,-1.811872607,-1.079205454,-0.865311367,2.539038103,1.776171562,0.014274307,1.535008798,-1.366027672,2.103777689,-1.796452928,0.133969868,0.396654416,7
81,-0.926187154,-0.73823613,-0.484679994,0.186527415,-0.641101838,-0.583059067,0.151604303,0.639994777,0.845752444,-0.165238462,-0.687451768,-0.92123132,-2.300411315,-1.454711377,-0.07582244,-1.812297854,1.573235338,-1.682372265,0.852152193,-0.874212962,-2.029018608,6
82,1.052519995,0.36874907,-1.272527905,0.328148451,0.628202366,0.592139888,-0.663260244,-0.719325815,-0.826347786,0.690590538,0.736817761,0.851905376,1.027883645,0.81946723,0.087195604,0.493573639,-0.334938506,0.919514705,-0.83291482,1.117689271,1.457525718,7
84,0.380266925,1.56183312,2.254606586,-0.456941809,-0.42245851,-0.498174958,0.168230001,-0.125672196,-0.085113034,-0.121029412,0.175212668,0.145113283,0.614312205,0.928266171,0.8626212,0.280205362,0.752140282,0.557387162,0.802764462,-0.392592075,-0.373383013,6
88,-0.67250675,-0.393840735,1.806139314,-2.377224596,-2.023667159,-2.060440957,2.16855992,1.968953049,1.807212983,-1.815430536,-1.636559455,-1.354608428,0.56106664,0.455856622,0.826344885,1.18057401,-0.164249786,0.018433159,-0.446939321,-0.489122339,-1.311134365,5
89,-0.177829963,1.500333942,-1.99977213,1.060214974,1.515967534,1.365313192,-1.085630573,-1.614214568,-1.709543662,1.158683536,1.677043214,1.748137341,1.55555525,1.360156457,-0.465964021,-0.236390443,-0.246257736,1.913338011,0.695182107,1.404728539,-0.868531978,5
